Car_Name,Year,Selling_Price,Sales_in_thousands,Kms_Driven
ritz,2014,3.35,16.919,27000
sx4,2013,4.75,39.384,43000
ciaz,2017,7.25,14.114,6900
wagon r,2011,2.85,8.588,5200
swift,2014,4.6,20.397,42450
vitara brezza,2018,9.25,18.78,2071
ciaz,2015,6.75,1.38,18796
s cross,2015,6.5,19.747,33429
ciaz,2016,8.75,9.231,20273
ciaz,2015,7.45,17.527,42367
alto 800,2017,2.85,91.561,2135
ciaz,2015,6.85,39.35,51000
ciaz,2015,7.5,27.851,15000
ertiga,2015,6.1,83.257,26000
dzire,2009,2.25,63.729,77427
ertiga,2016,7.75,15.943,43000
ertiga,2015,7.25,6.536,41678
ertiga,2016,7.75,11.185,43000
wagon r,2015,3.25,14.785,35500
sx4,2010,2.65,145.519,41442
alto k10,2016,2.85,135.126,25000
ignis,2017,4.9,24.629,2400
sx4,2011,4.4,42.593,50000
alto k10,2014,2.5,26.402,45280
wagon r,2013,2.9,17.947,56879
swift,2011,3,32.299,20000
swift,2013,4.15,21.855,55138
swift,2017,6,107.995,16200
alto k10,2010,1.95,7.854,44542
ciaz,2015,7.45,32.775,45000
ritz,2012,3.1,31.148,51439
ritz,2011,2.35,32.306,54200
swift,2014,4.95,13.462,39000
ertiga,2014,6,53.48,45000
dzire,2014,5.5,30.696,45000
sx4,2011,2.95,76.034,49998
dzire,2015,4.65,4.734,48767
800,2003,0.35,71.186,127000
alto k10,2016,3,88.028,10079
sx4,2003,2.25,0.916,62000
baleno,2016,5.85,227.061,24524
alto k10,2014,2.55,16.767,46706
sx4,2008,1.95,31.038,58000
dzire,2014,5.5,111.313,45780
omni,2012,1.25,101.323,50000
ciaz,2014,7.5,181.749,15000
ritz,2013,2.65,70.227,64532
wagon r,2006,1.05,113.369,65000
ertiga,2015,5.8,35.068,25870
ciaz,2017,7.75,245.815,37000
fortuner,2012,14.9,175.67,104707
fortuner,2015,23,63.403,40000
innova,2017,18,276.747,15000
fortuner,2013,16,155.787,135000
innova,2005,2.75,125.338,90000
corolla altis,2009,3.6,220.65,70000
etios cross,2015,4.5,540.561,40534
corolla altis,2010,4.75,199.685,50000
etios g,2014,4.1,230.902,39485
fortuner,2014,19.99,73.203,41000
corolla altis,2013,6.95,12.855,40001
etios cross,2015,4.5,76.029,40588
fortuner,2014,18.75,41.184,78000
fortuner,2015,23.5,66.692,47000
fortuner,2017,33,29.45,6000
etios liva,2014,4.75,23.713,45000
innova,2017,19.75,15.467,11000
fortuner,2010,9.25,55.557,59000
corolla altis,2011,4.35,80.556,88000
corolla altis,2016,14.25,157.04,12000
etios liva,2014,3.95,24.072,71000
corolla altis,2011,4.5,12.698,45000
corolla altis,2013,7.45,3.334,56001
etios liva,2011,2.65,6.375,43000
etios cross,2014,4.9,9.126,83000
etios g,2015,3.95,51.238,36000
corolla altis,2013,5.5,13.798,72000
corolla,2004,1.5,48.911,135154
corolla altis,2010,5.25,22.925,80000
fortuner,2012,14.5,26.232,89000
corolla altis,2016,14.73,42.541,23000
etios gd,2015,4.75,55.616,40000
innova,2017,23,5.711,15000
innova,2015,12.5,0.11,38000
innova,2005,3.49,11.337,197176
camry,2006,2.5,39.348,142000
land cruiser,2010,35,14.351,78000
corolla altis,2012,5.9,26.529,56000
etios liva,2013,3.45,67.956,47000
etios g,2014,4.75,81.174,40000
corolla altis,2009,3.8,27.609,62000
innova,2014,11.25,20.38,58242
innova,2005,3.51,18.392,75000
fortuner,2015,23,27.602,40000
corolla altis,2008,4,16.774,89000
corolla altis,2012,5.85,3.311,72000
innova,2016,20.75,7.998,29000
corolla altis,2017,17,1.526,8700
corolla altis,2013,7.05,11.592,45000
fortuner,2010,9.65,0.954,50024
Royal Enfield Thunder 500,2016,1.75,28.976,3000
UM Renegade Mojave,2017,1.7,42.643,1400
KTM RC200,2017,1.65,88.094,4000
Bajaj Dominar 400,2017,1.45,79.853,1200
Royal Enfield Classic 350,2017,1.35,27.308,4100
KTM RC390,2015,1.35,42.574,21700
Hyosung GT250R,2014,1.35,54.158,16500
Royal Enfield Thunder 350,2013,1.25,65.005,15000
Royal Enfield Thunder 350,2016,1.2,1.112,18000
Royal Enfield Classic 350,2017,1.2,38.554,11000
KTM RC200,2016,1.2,80.255,6000
Royal Enfield Thunder 350,2016,1.15,14.69,8700
KTM 390 Duke ,2014,1.15,20.017,7000
Mahindra Mojo XT300,2016,1.15,24.361,35000
Royal Enfield Classic 350,2015,1.15,32.734,17000
Royal Enfield Classic 350,2015,1.11,5.24,17500
Royal Enfield Classic 350,2013,1.1,24.155,33000
Royal Enfield Thunder 500,2015,1.1,1.872,14000
Royal Enfield Classic 350,2015,1.1,51.645,26000
Royal Enfield Thunder 500,2013,1.05,131.097,5400
Bajaj Pulsar RS200,2016,1.05,19.911,5700
Royal Enfield Thunder 350,2011,1.05,92.364,6900
Royal Enfield Bullet 350,2016,1.05,35.945,6000
Royal Enfield Classic 350,2013,1,39.572,46500
